latitude,longitude,altitude
45.89175,6.799045,1004.0
45.891846,6.799088,1003.7
45.891014,6.798813,1008.4
45.89085,6.798855,1010.5
45.890747,6.798809,1010.8
45.890442,6.798496,1009.6
45.89003,6.798196,1009.3
45.889923,6.798189,1010.0
45.889851,6.798105,1009.6
45.889896,6.798123,1009.5
45.889874,6.798019,1008.6
45.889721,6.797938,1009.2
45.889534,6.797669,1008.4
45.889412,6.797235,1008.5
45.889256,6.795653,1011.1
45.889164,6.795577,1013.1
45.889221,6.795458,1011.8
45.889202,6.794965,1014.3
45.889359,6.793721,1010.4
45.88932,6.792896,1006.2
45.889202,6.79219,1004.2
45.889336,6.790597,1002.0
45.890327,6.787198,1000.6
45.891129,6.785925,1004.7
45.891579,6.785911,1006.0
45.891724,6.786004,1004.4
45.891933,6.785948,1006.1
45.892044,6.785833,1008.6
45.892216,6.785815,1008.3
45.89222,6.785744,1009.3
45.892265,6.785771,1008.4
45.892624,6.785337,1008.6
45.892662,6.785127,1011.2
45.892521,6.784775,1020.3
45.892319,6.784791,1024.0
45.892227,6.784631,1030.2
45.892254,6.784571,1031.1
45.892124,6.784481,1036.1
45.892239,6.784126,1042.5
45.892254,6.783676,1051.1
45.892151,6.783649,1053.9
45.891998,6.783715,1056.0
45.891987,6.783631,1057.7
45.892139,6.782778,1064.7
45.892155,6.782051,1072.2
45.892338,6.781588,1071.5
45.892563,6.78043,1074.7
45.89254,6.779918,1078.7
45.892582,6.779876,1077.3
45.892494,6.779625,1080.2
45.892502,6.779317,1079.5
45.892132,6.778386,1098.5
45.892143,6.777784,1102.1
45.892303,6.777437,1101.8
45.891968,6.777964,1108.3
45.891907,6.778452,1108.0
45.891701,6.778839,1114.2
45.891708,6.779028,1111.8
45.891575,6.779355,1112.3
45.891094,6.779746,1120.3
45.890785,6.780515,1124.9
45.890682,6.780525,1126.4
45.890347,6.780274,1134.1
45.889984,6.780461,1136.9
45.889633,6.78047,1141.1
45.889252,6.780333,1148.3
45.888912,6.780341,1153.2
45.888905,6.779983,1158.2
45.888962,6.779922,1159.0
45.889355,6.779879,1157.9
45.889557,6.779781,1158.5
45.889664,6.779631,1160.0
45.889778,6.779211,1162.1
45.889881,6.778655,1164.9
45.88987,6.778362,1168.4
45.889725,6.778394,1172.3
45.889297,6.778881,1174.8
45.889187,6.778887,1176.7
45.889133,6.778714,1181.4
45.888981,6.778537,1187.9
45.889217,6.778171,1189.5
45.889465,6.777599,1190.3
45.889576,6.776894,1193.4
45.889496,6.776817,1196.0
45.889362,6.77692,1199.8
45.889137,6.777402,1201.7
45.888882,6.777766,1203.2
45.888687,6.777892,1204.3
45.88847,6.777889,1206.9
45.888416,6.777692,1210.3
45.888523,6.777215,1213.3
45.88842,6.777073,1216.4
45.88818,6.777003,1220.1
45.888283,6.776219,1223.5
45.887882,6.775691,1236.2
45.887821,6.775139,1241.5
45.888,6.7744,1249.8
45.888039,6.774355,1249.7
45.888168,6.774435,1246.1
45.888058,6.774563,1246.7
45.887989,6.774203,1253.5
45.887409,6.774295,1267.4
45.887287,6.77421,1274.9
45.887077,6.774399,1273.2
45.886833,6.7744,1279.0
45.886593,6.774335,1285.3
45.886478,6.774208,1291.1
45.886505,6.773868,1305.8
45.886646,6.7739,1305.3
45.886852,6.77368,1315.0
45.886917,6.773501,1322.6
45.886852,6.773398,1327.1
45.88681,6.773447,1325.5
45.886715,6.773422,1327.1
45.886322,6.773129,1330.5
45.886219,6.772741,1336.0
45.885929,6.772497,1335.1
45.885967,6.771816,1346.0
45.885921,6.771593,1348.9
45.885685,6.771313,1351.0
45.885715,6.771161,1353.4
45.885929,6.771021,1357.4
45.886189,6.771055,1359.9
45.88649,6.770974,1365.6
45.886726,6.771058,1367.3
45.886818,6.771016,1368.6
45.886719,6.770356,1383.8
45.886845,6.770146,1388.8
45.886829,6.770086,1390.5
45.886642,6.770012,1393.5
45.886612,6.769871,1397.4
45.886871,6.769297,1413.6
45.886822,6.769169,1417.9
45.886681,6.769167,1418.0
45.886612,6.769057,1420.0
45.886543,6.76858,1429.0
45.886574,6.767863,1444.8
45.886406,6.767301,1455.0
45.886433,6.767046,1460.8
45.886707,6.766969,1465.6
45.886623,6.766654,1469.8
45.886574,6.766661,1469.1
45.886623,6.766666,1469.5
45.886581,6.766097,1482.6
45.886234,6.765526,1497.2
45.885944,6.765295,1499.7
45.885799,6.764996,1507.0
45.885632,6.76489,1509.6
45.885441,6.764573,1519.5
45.885235,6.764377,1525.6
45.885071,6.764044,1537.8
45.884075,6.763607,1555.7
45.884171,6.763511,1558.1
45.884251,6.763526,1557.2
45.88451,6.763386,1558.2
45.884403,6.763422,1558.4
45.884308,6.763363,1560.3
45.884163,6.763454,1559.4
45.884182,6.763376,1561.0
45.884132,6.763498,1558.2
45.884171,6.763539,1557.5
45.884125,6.763591,1556.3
45.884087,6.763551,1556.9
45.884048,6.763651,1554.6
45.884117,6.763654,1554.8
45.884129,6.763354,1561.2
45.884041,6.763091,1564.6
45.884121,6.762769,1570.5
45.883984,6.76177,1575.2
45.883675,6.761182,1578.0
45.883205,6.760931,1586.1
45.882717,6.76089,1590.4
45.882484,6.76081,1592.7
45.881893,6.760154,1603.4
45.881542,6.759958,1607.3
45.881439,6.759993,1607.6
45.881256,6.760225,1611.6
45.881168,6.760549,1614.5
45.881016,6.760712,1619.7
45.880524,6.760884,1631.1
45.880249,6.761061,1631.9
45.879719,6.76091,1644.8
45.879387,6.760745,1653.6
45.879368,6.76062,1656.9
45.879539,6.760479,1659.6
45.879585,6.760287,1665.7
