type	latitude	longitude	altitude (m)	name	desc
T	45.891750000	6.799045000	1004.0	„Tour du Mont Blanc“ - The most beautiful hike in Europe through France, Italy and Switzerland.	Die Tour du Mont-Blanc ist ein beliebter Fernwanderweg in Europa. Die Tour du Mont-Blanc (auch Mont Blanc-Trail genannt) ist ein Fernwanderweg um das gleichnamige Bergmassiv in den französischen, Italienischen und Schweizer Alpen. Eine unglaublich schöne, aussichtsreiche und manchmal nebelige Wanderung erwartet euch auf der Tour du Mont Blanc. Ich fand die Tour grandios. Chapeau!
T	45.891846000	6.799088000	1003.7		
T	45.891014000	6.798813000	1008.4		
T	45.890850000	6.798855000	1010.5		
T	45.890747000	6.798809000	1010.8		
T	45.890442000	6.798496000	1009.6		
T	45.890030000	6.798196000	1009.3		
T	45.889923000	6.798189000	1010.0		
T	45.889851000	6.798105000	1009.6		
T	45.889896000	6.798123000	1009.5		
T	45.889874000	6.798019000	1008.6		
T	45.889721000	6.797938000	1009.2		
T	45.889534000	6.797669000	1008.4		
T	45.889412000	6.797235000	1008.5		
T	45.889256000	6.795653000	1011.1		
T	45.889164000	6.795577000	1013.1		
T	45.889221000	6.795458000	1011.8		
T	45.889202000	6.794965000	1014.3		
T	45.889359000	6.793721000	1010.4		
T	45.889320000	6.792896000	1006.2		
T	45.889202000	6.792190000	1004.2		
T	45.889336000	6.790597000	1002.0		
T	45.890327000	6.787198000	1000.6		
T	45.891129000	6.785925000	1004.7		
T	45.891579000	6.785911000	1006.0		
T	45.891724000	6.786004000	1004.4		
T	45.891933000	6.785948000	1006.1		
T	45.892044000	6.785833000	1008.6		
T	45.892216000	6.785815000	1008.3		
T	45.892220000	6.785744000	1009.3		
T	45.892265000	6.785771000	1008.4		
T	45.892624000	6.785337000	1008.6		
T	45.892662000	6.785127000	1011.2		
T	45.892521000	6.784775000	1020.3		
T	45.892319000	6.784791000	1024.0		
T	45.892227000	6.784631000	1030.2		
T	45.892254000	6.784571000	1031.1		
T	45.892124000	6.784481000	1036.1		
T	45.892239000	6.784126000	1042.5		
T	45.892254000	6.783676000	1051.1		
T	45.892151000	6.783649000	1053.9		
T	45.891998000	6.783715000	1056.0		
T	45.891987000	6.783631000	1057.7		
T	45.892139000	6.782778000	1064.7		
T	45.892155000	6.782051000	1072.2		
T	45.892338000	6.781588000	1071.5		
T	45.892563000	6.780430000	1074.7		
T	45.892540000	6.779918000	1078.7		
T	45.892582000	6.779876000	1077.3		
T	45.892494000	6.779625000	1080.2		
T	45.892502000	6.779317000	1079.5		
T	45.892132000	6.778386000	1098.5		
T	45.892143000	6.777784000	1102.1		
T	45.892303000	6.777437000	1101.8		
T	45.891968000	6.777964000	1108.3		
T	45.891907000	6.778452000	1108.0		
T	45.891701000	6.778839000	1114.2		
T	45.891708000	6.779028000	1111.8		
T	45.891575000	6.779355000	1112.3		
T	45.891094000	6.779746000	1120.3		
T	45.890785000	6.780515000	1124.9		
T	45.890682000	6.780525000	1126.4		
T	45.890347000	6.780274000	1134.1		
T	45.889984000	6.780461000	1136.9		
T	45.889633000	6.780470000	1141.1		
T	45.889252000	6.780333000	1148.3		
T	45.888912000	6.780341000	1153.2		
T	45.888905000	6.779983000	1158.2		
T	45.888962000	6.779922000	1159.0		
T	45.889355000	6.779879000	1157.9		
T	45.889557000	6.779781000	1158.5		
T	45.889664000	6.779631000	1160.0		
T	45.889778000	6.779211000	1162.1		
T	45.889881000	6.778655000	1164.9		
T	45.889870000	6.778362000	1168.4		
T	45.889725000	6.778394000	1172.3		
T	45.889297000	6.778881000	1174.8		
T	45.889187000	6.778887000	1176.7		
T	45.889133000	6.778714000	1181.4		
T	45.888981000	6.778537000	1187.9		
T	45.889217000	6.778171000	1189.5		
T	45.889465000	6.777599000	1190.3		
T	45.889576000	6.776894000	1193.4		
T	45.889496000	6.776817000	1196.0		
T	45.889362000	6.776920000	1199.8		
T	45.889137000	6.777402000	1201.7		
T	45.888882000	6.777766000	1203.2		
T	45.888687000	6.777892000	1204.3		
T	45.888470000	6.777889000	1206.9		
T	45.888416000	6.777692000	1210.3		
T	45.888523000	6.777215000	1213.3		
T	45.888420000	6.777073000	1216.4		
T	45.888180000	6.777003000	1220.1		
T	45.888283000	6.776219000	1223.5		
T	45.887882000	6.775691000	1236.2		
T	45.887821000	6.775139000	1241.5		
T	45.888000000	6.774400000	1249.8		
T	45.888039000	6.774355000	1249.7		
T	45.888168000	6.774435000	1246.1		
T	45.888058000	6.774563000	1246.7		
T	45.887989000	6.774203000	1253.5		
T	45.887409000	6.774295000	1267.4		
T	45.887287000	6.774210000	1274.9		
T	45.887077000	6.774399000	1273.2		
T	45.886833000	6.774400000	1279.0		
T	45.886593000	6.774335000	1285.3		
T	45.886478000	6.774208000	1291.1		
T	45.886505000	6.773868000	1305.8		
T	45.886646000	6.773900000	1305.3		
T	45.886852000	6.773680000	1315.0		
T	45.886917000	6.773501000	1322.6		
T	45.886852000	6.773398000	1327.1		
T	45.886810000	6.773447000	1325.5		
T	45.886715000	6.773422000	1327.1		
T	45.886322000	6.773129000	1330.5		
T	45.886219000	6.772741000	1336.0		
T	45.885929000	6.772497000	1335.1		
T	45.885967000	6.771816000	1346.0		
T	45.885921000	6.771593000	1348.9		
T	45.885685000	6.771313000	1351.0		
T	45.885715000	6.771161000	1353.4		
T	45.885929000	6.771021000	1357.4		
T	45.886189000	6.771055000	1359.9		
T	45.886490000	6.770974000	1365.6		
T	45.886726000	6.771058000	1367.3		
T	45.886818000	6.771016000	1368.6		
T	45.886719000	6.770356000	1383.8		
T	45.886845000	6.770146000	1388.8		
T	45.886829000	6.770086000	1390.5		
T	45.886642000	6.770012000	1393.5		
T	45.886612000	6.769871000	1397.4		
T	45.886871000	6.769297000	1413.6		
T	45.886822000	6.769169000	1417.9		
T	45.886681000	6.769167000	1418.0		
T	45.886612000	6.769057000	1420.0		
T	45.886543000	6.768580000	1429.0		
T	45.886574000	6.767863000	1444.8		
T	45.886406000	6.767301000	1455.0		
T	45.886433000	6.767046000	1460.8		
T	45.886707000	6.766969000	1465.6		
T	45.886623000	6.766654000	1469.8		
T	45.886574000	6.766661000	1469.1		
T	45.886623000	6.766666000	1469.5		
T	45.886581000	6.766097000	1482.6		
T	45.886234000	6.765526000	1497.2		
T	45.885944000	6.765295000	1499.7		
T	45.885799000	6.764996000	1507.0		
T	45.885632000	6.764890000	1509.6		
T	45.885441000	6.764573000	1519.5		
T	45.885235000	6.764377000	1525.6		
T	45.885071000	6.764044000	1537.8		
T	45.884075000	6.763607000	1555.7		
T	45.884171000	6.763511000	1558.1		
T	45.884251000	6.763526000	1557.2		
T	45.884510000	6.763386000	1558.2		
T	45.884403000	6.763422000	1558.4		
T	45.884308000	6.763363000	1560.3		
T	45.884163000	6.763454000	1559.4		
T	45.884182000	6.763376000	1561.0		
T	45.884132000	6.763498000	1558.2		
T	45.884171000	6.763539000	1557.5		
T	45.884125000	6.763591000	1556.3		
T	45.884087000	6.763551000	1556.9		
T	45.884048000	6.763651000	1554.6		
T	45.884117000	6.763654000	1554.8		
T	45.884129000	6.763354000	1561.2		
T	45.884041000	6.763091000	1564.6		
T	45.884121000	6.762769000	1570.5		
T	45.883984000	6.761770000	1575.2		
T	45.883675000	6.761182000	1578.0		
T	45.883205000	6.760931000	1586.1		
T	45.882717000	6.760890000	1590.4		
T	45.882484000	6.760810000	1592.7		
T	45.881893000	6.760154000	1603.4		
T	45.881542000	6.759958000	1607.3		
T	45.881439000	6.759993000	1607.6		
T	45.881256000	6.760225000	1611.6		
T	45.881168000	6.760549000	1614.5		
T	45.881016000	6.760712000	1619.7		
T	45.880524000	6.760884000	1631.1		
T	45.880249000	6.761061000	1631.9		
T	45.879719000	6.760910000	1644.8		
T	45.879387000	6.760745000	1653.6		
T	45.879368000	6.760620000	1656.9		
T	45.879539000	6.760479000	1659.6		
T	45.879585000	6.760287000	1665.7		
T	45.879410000	6.760139000	1670.4		
T	45.878284000	6.760010000	1666.9		
T	45.877602000	6.760172000	1662.5		
T	45.877174000	6.760351000	1659.4		
T	45.876835000	6.761392000	1654.4		
T	45.876595000	6.761332000	1654.3		
T	45.876553000	6.761378000	1653.8		
T	45.876534000	6.762103000	1657.3		
T	45.876637000	6.762749000	1667.0		
T	45.876595000	6.763089000	1670.8		
T	45.875996000	6.764701000	1699.4		
T	45.875759000	6.764948000	1706.5		
T	45.875889000	6.765893000	1723.1		
T	45.875828000	6.765992000	1726.4		
T	45.875683000	6.766045000	1729.5		
T	45.875587000	6.766280000	1735.5		
T	45.875706000	6.766659000	1738.7		
T	45.875706000	6.766929000	1741.2		
T	45.875374000	6.767553000	1749.3		
T	45.875217000	6.768076000	1755.3		
T	45.874645000	6.769155000	1764.7		
T	45.874275000	6.770071000	1773.7		
T	45.873699000	6.770615000	1780.0		
T	45.873432000	6.771127000	1780.6		
T	45.873409000	6.771480000	1779.3		
T	45.873554000	6.771780000	1779.2		
T	45.873688000	6.772521000	1772.3		
T	45.873928000	6.772730000	1769.5		
T	45.873882000	6.773792000	1771.0		
T	45.873665000	6.775121000	1773.2		
T	45.873905000	6.776021000	1777.0		
T	45.873924000	6.776330000	1778.8		
T	45.873859000	6.777940000	1787.8		
T	45.873692000	6.778895000	1795.9		
T	45.873592000	6.778918000	1797.4		
T	45.873295000	6.778713000	1795.7		
T	45.873226000	6.778249000	1788.9		
T	45.873070000	6.778109000	1784.0		
T	45.873047000	6.777828000	1780.3		
T	45.872429000	6.777592000	1758.3		
T	45.872414000	6.777529000	1756.7		
T	45.872005000	6.778633000	1753.6		
T	45.871773000	6.780127000	1760.2		
T	45.871468000	6.780834000	1755.4		
T	45.871284000	6.781087000	1748.9		
T	45.871265000	6.781295000	1751.4		
T	45.871029000	6.781876000	1750.4		
T	45.870567000	6.782186000	1749.8		
T	45.870258000	6.782260000	1746.7		
T	45.869823000	6.782531000	1745.7		
T	45.869534000	6.783018000	1749.6		
T	45.869488000	6.783425000	1764.8		
T	45.869320000	6.783521000	1756.0		
T	45.869240000	6.783784000	1760.4		
T	45.869110000	6.783798000	1752.6		
T	45.868858000	6.784005000	1757.6		
T	45.868530000	6.784505000	1773.3		
T	45.868103000	6.784717000	1761.0		
T	45.867970000	6.785068000	1772.6		
T	45.867783000	6.784978000	1759.0		
T	45.867722000	6.785110000	1766.8		
T	45.867622000	6.785080000	1764.2		
T	45.867321000	6.785239000	1772.4		
T	45.866810000	6.785303000	1770.1		
T	45.866364000	6.785217000	1761.3		
T	45.866356000	6.785148000	1757.3		
T	45.866184000	6.785258000	1762.4		
T	45.865776000	6.785262000	1755.2		
T	45.865646000	6.786056000	1769.8		
T	45.865528000	6.786352000	1773.1		
T	45.865395000	6.786395000	1769.9		
T	45.865192000	6.787232000	1777.6		
T	45.864998000	6.787624000	1777.3		
T	45.864944000	6.787631000	1777.5		
T	45.864475000	6.787103000	1781.1		
T	45.864166000	6.786884000	1785.2		
T	45.864101000	6.786683000	1786.9		
T	45.864017000	6.786639000	1787.9		
T	45.864014000	6.786508000	1787.0		
T	45.863914000	6.786465000	1787.6		
T	45.863827000	6.786284000	1781.4		
T	45.863873000	6.786122000	1775.9		
T	45.863785000	6.786059000	1770.2		
T	45.863922000	6.785614000	1758.3		
T	45.863888000	6.785264000	1749.6		
T	45.863586000	6.784993000	1741.2		
T	45.863556000	6.784835000	1738.1		
T	45.863644000	6.784836000	1739.0		
T	45.863674000	6.784398000	1731.8		
T	45.863537000	6.784137000	1727.0		
T	45.863571000	6.783768000	1721.0		
T	45.863522000	6.783577000	1715.9		
T	45.862953000	6.783443000	1706.1		
T	45.862976000	6.783182000	1696.0		
T	45.862717000	6.782970000	1696.3		
T	45.862621000	6.783103000	1703.4		
