latitude,longitude,altitude
28.223473,-16.62998,2138.5
28.223978,-16.628708,2143.3
28.22393,-16.628616,2143.1
28.224213,-16.627804,2147.9
28.224178,-16.627298,2148.8
28.224712,-16.627304,2150.4
28.225416,-16.627892,2148.3
28.225895,-16.627739,2148.4
28.226036,-16.627514,2149.7
28.225975,-16.627316,2150.5
28.225986,-16.62726,2150.8
28.225998,-16.627371,2150.2
28.226048,-16.626799,2151.3
28.22636,-16.626663,2152.8
28.226458,-16.626478,2152.9
28.226614,-16.626495,2152.7
28.226879,-16.626335,2153.2
28.226957,-16.62566,2155.3
28.227154,-16.62566,2155.8
28.227606,-16.625385,2156.6
28.227713,-16.625027,2157.1
28.227901,-16.624945,2157.4
28.228489,-16.623856,2159.9
28.228987,-16.62372,2162.6
28.229231,-16.623545,2163.1
28.229425,-16.62359,2161.1
28.229649,-16.623358,2162.0
28.2299,-16.623402,2162.2
28.231703,-16.624516,2165.0
28.232281,-16.624613,2165.1
28.232689,-16.624569,2165.8
28.232971,-16.624893,2170.2
28.232964,-16.625231,2168.0
28.233118,-16.625397,2169.8
28.233116,-16.625546,2168.3
28.233316,-16.625587,2168.9
28.233446,-16.625755,2173.0
28.233418,-16.625904,2171.1
28.233969,-16.626381,2171.5
28.234297,-16.626408,2175.2
28.2348,-16.626991,2176.2
28.235231,-16.627213,2176.3
28.235683,-16.627199,2178.4
28.235878,-16.627357,2178.3
28.23645,-16.627563,2180.2
28.236544,-16.627506,2180.6
28.236727,-16.627602,2181.5
28.236858,-16.627563,2182.8
28.23707,-16.627838,2183.4
28.237333,-16.627876,2187.0
28.237795,-16.628147,2186.3
28.237988,-16.628153,2189.2
28.238476,-16.628452,2189.8
28.238876,-16.628372,2191.0
28.239864,-16.627863,2198.4
28.240511,-16.628006,2200.9
28.240711,-16.628435,2202.6
28.24099,-16.62849,2204.0
28.241379,-16.627958,2207.9
28.241642,-16.62781,2209.8
28.241879,-16.627844,2211.3
28.242369,-16.627602,2215.8
28.242918,-16.626862,2220.4
28.242989,-16.626589,2221.1
28.243362,-16.626324,2224.1
28.243458,-16.626005,2224.8
28.243818,-16.625816,2226.9
28.244057,-16.625906,2228.5
28.244099,-16.62574,2228.8
28.244436,-16.625307,2229.9
28.245159,-16.624697,2242.9
28.245665,-16.62508,2251.6
28.246243,-16.625204,2250.7
28.246908,-16.625074,2251.9
28.247246,-16.624866,2254.1
28.247988,-16.624815,2258.2
28.248106,-16.624718,2260.3
28.248602,-16.6248,2271.9
28.248737,-16.624657,2277.0
28.248672,-16.624147,2280.8
28.248861,-16.62429,2283.1
28.248985,-16.624243,2286.5
28.249201,-16.624331,2292.3
28.249359,-16.62417,2296.8
28.250406,-16.623671,2313.8
28.250721,-16.623154,2309.5
28.250845,-16.622723,2305.0
28.250801,-16.622332,2298.6
28.250887,-16.622196,2295.5
28.250866,-16.621941,2291.2
28.250727,-16.621326,2279.7
28.250788,-16.621054,2277.1
28.250639,-16.620766,2273.4
28.250793,-16.620893,2276.0
28.250202,-16.619436,2263.0
28.250282,-16.617592,2241.4
28.24999,-16.61717,2232.7
28.249765,-16.616302,2223.2
28.249771,-16.614143,2230.2
28.250256,-16.6126,2238.1
28.250546,-16.612667,2245.6
28.251553,-16.611685,2250.2
28.252352,-16.611469,2256.8
28.253222,-16.610962,2269.4
28.253996,-16.6101,2258.6
28.25425,-16.608929,2260.0
28.253944,-16.608412,2255.7
28.254423,-16.608112,2273.9
28.254982,-16.608355,2283.4
28.255491,-16.608122,2303.2
28.255692,-16.60845,2309.5
28.256231,-16.608219,2318.9
28.257887,-16.608805,2329.4
28.258656,-16.608854,2350.3
28.259375,-16.608309,2365.6
28.259508,-16.606493,2356.1
28.259415,-16.606222,2357.2
28.25886,-16.605457,2353.0
28.258827,-16.605013,2353.9
28.259327,-16.603912,2358.5
28.259396,-16.603558,2353.4
28.259548,-16.603407,2352.5
28.259701,-16.603384,2355.0
28.259827,-16.60321,2354.9
28.260061,-16.6024,2359.6
28.260199,-16.602421,2364.0
28.260366,-16.603039,2368.0
28.260576,-16.603161,2373.8
28.260799,-16.602867,2376.2
28.261324,-16.602943,2384.0
28.262074,-16.602615,2390.6
28.262419,-16.602573,2396.3
28.263191,-16.601767,2406.1
28.264139,-16.601084,2408.9
28.264084,-16.601048,2407.4
28.264364,-16.600985,2408.6
28.264738,-16.601114,2411.0
28.265059,-16.601374,2414.3
28.266294,-16.602781,2430.4
28.26664,-16.603016,2432.3
28.267031,-16.603674,2438.0
28.267511,-16.603668,2437.3
28.267775,-16.604099,2439.6
28.268272,-16.604517,2444.1
28.269938,-16.604954,2455.8
28.270393,-16.605387,2458.6
28.271297,-16.605787,2467.3
28.271824,-16.605703,2470.9
28.272854,-16.606489,2481.5
28.273165,-16.606989,2488.9
28.273733,-16.606924,2491.3
28.274132,-16.607113,2494.9
28.274076,-16.607212,2497.4
28.274105,-16.607109,2495.1
28.27416,-16.607206,2495.9
28.274071,-16.607204,2497.4
28.27416,-16.607252,2496.5
28.274382,-16.607807,2501.6
28.274992,-16.608665,2509.7
28.275631,-16.609348,2517.9
28.275887,-16.610092,2525.7
28.276554,-16.610641,2531.9
28.276628,-16.610569,2530.4
28.276623,-16.610668,2531.4
28.27655,-16.610674,2532.4
28.27668,-16.611561,2539.2
28.276527,-16.611841,2544.5
28.276369,-16.612511,2551.0
28.276455,-16.613125,2555.6
28.276384,-16.613195,2558.7
28.276258,-16.613131,2562.7
28.275953,-16.612549,2566.7
28.275875,-16.612087,2567.9
28.275305,-16.611485,2575.4
28.275089,-16.611691,2581.5
28.275078,-16.612202,2585.4
28.274965,-16.612383,2588.7
28.274775,-16.612347,2591.5
28.274639,-16.612429,2594.7
28.274765,-16.61235,2591.7
28.274755,-16.612242,2590.7
28.274282,-16.61165,2595.7
28.273758,-16.611931,2608.4
28.27389,-16.612705,2616.4
28.273846,-16.612852,2617.9
28.272905,-16.612648,2633.0
28.272928,-16.612745,2631.1
28.272726,-16.613155,2634.5
28.272749,-16.613483,2636.2
28.273329,-16.614164,2643.0
28.273403,-16.614363,2646.6
28.273338,-16.614494,2649.4
28.272596,-16.61414,2655.8
28.272348,-16.613874,2657.8
28.271841,-16.612631,2670.7
28.271378,-16.612461,2675.4
28.271099,-16.612677,2680.8
28.271029,-16.61297,2684.2
28.271223,-16.613041,2686.2
28.271469,-16.613384,2691.1
28.27161,-16.614096,2697.4
28.2712,-16.615696,2711.9
28.271112,-16.616501,2717.8
28.270868,-16.616835,2720.8
28.270866,-16.617105,2720.8
28.270777,-16.617243,2721.5
28.270496,-16.617279,2723.6
28.270208,-16.617147,2723.9
28.269232,-16.616987,2729.3
28.26918,-16.616699,2729.9
28.269321,-16.615978,2730.6
28.26931,-16.615425,2732.0
28.268965,-16.614573,2740.4
28.268419,-16.614119,2737.5
28.269012,-16.61467,2738.9
28.269337,-16.61552,2731.7
28.269184,-16.616901,2729.8
28.269239,-16.616999,2729.3
28.270706,-16.617294,2722.3
28.270641,-16.617643,2727.3
28.270836,-16.617786,2728.3
28.270823,-16.618029,2735.6
28.27095,-16.618093,2740.4
28.270847,-16.618456,2747.9
28.270878,-16.61866,2754.5
28.270952,-16.618773,2760.2
28.271128,-16.61869,2763.7
28.271173,-16.618755,2767.7
28.271147,-16.619102,2778.4
28.271269,-16.619129,2783.4
28.271233,-16.619225,2785.5
28.271423,-16.61919,2790.6
28.271286,-16.619522,2798.1
28.271341,-16.619608,2803.1
28.271271,-16.61968,2803.9
28.271278,-16.61994,2812.1
28.2712,-16.620001,2811.6
28.271263,-16.620237,2819.7
28.271206,-16.620527,2827.4
28.271383,-16.620586,2831.7
28.271389,-16.620787,2836.8
28.271479,-16.620813,2840.4
28.271843,-16.620579,2849.0
28.271984,-16.620605,2855.3
28.272039,-16.620518,2855.8
28.272198,-16.620571,2863.4
28.272194,-16.620764,2867.2
28.272375,-16.62072,2873.8
28.272366,-16.620911,2877.5
28.272444,-16.620964,2882.0
28.272371,-16.621155,2884.0
28.272549,-16.621145,2892.1
28.272573,-16.621334,2899.0
28.272713,-16.621363,2905.2
28.272779,-16.621521,2912.8
28.272711,-16.621801,2922.1
28.27276,-16.621855,2926.2
28.272636,-16.622082,2930.8
28.272827,-16.622099,2939.0
28.272745,-16.622412,2946.1
28.273012,-16.622887,2964.0
28.272947,-16.62298,2967.7
28.27297,-16.623186,2974.7
28.272856,-16.623131,2973.4
28.272903,-16.62326,2976.8
28.272821,-16.623323,2978.1
28.272804,-16.623491,2980.6
28.272881,-16.623564,2983.0
28.272863,-16.623676,2985.6
28.272968,-16.623714,2989.1
28.272884,-16.623917,2994.0
28.273197,-16.624022,3007.5
28.273045,-16.624327,3012.6
28.273092,-16.624538,3021.2
28.272993,-16.624697,3027.3
28.273085,-16.624708,3027.8
28.273085,-16.624811,3031.8
28.273354,-16.624893,3038.5
28.273296,-16.625072,3045.0
28.273615,-16.625044,3053.0
28.273289,-16.625507,3065.1
28.27326,-16.625643,3071.5
28.273428,-16.625774,3081.8
28.273205,-16.625893,3084.1
28.27334,-16.625921,3086.0
28.273186,-16.626141,3099.1
28.273218,-16.626242,3104.8
28.273445,-16.626192,3105.4
28.273224,-16.626652,3127.2
28.273441,-16.626657,3131.7
28.273287,-16.626883,3139.7
28.273329,-16.626966,3144.1
28.27351,-16.626963,3151.5
28.273239,-16.627262,3159.0
28.273664,-16.62715,3165.5
28.273563,-16.627445,3174.5
28.273905,-16.627462,3183.3
28.273987,-16.627687,3192.5
28.273844,-16.627907,3197.9
28.273907,-16.628044,3205.0
28.274082,-16.628132,3214.0
28.273802,-16.62821,3212.8
28.273636,-16.628645,3234.0
28.273733,-16.628668,3236.7
28.273676,-16.628756,3239.7
28.273764,-16.628765,3241.3
28.273712,-16.628902,3246.5
28.273802,-16.629202,3257.2
28.273977,-16.629196,3259.3
28.274038,-16.62945,3265.7
28.274265,-16.629457,3269.0
28.274261,-16.62925,3265.0
28.274309,-16.629349,3268.0
28.274332,-16.629251,3266.3
28.274195,-16.6292,3262.9
28.274008,-16.62948,3266.4
28.274235,-16.629997,3281.2
28.274317,-16.630033,3282.5
28.274317,-16.630127,3285.1
28.274122,-16.630219,3289.0
28.274199,-16.630596,3300.9
28.274137,-16.630978,3316.8
28.274187,-16.631063,3320.6
28.274094,-16.631186,3325.9
28.274176,-16.632069,3351.3
28.274067,-16.632723,3373.3
28.274187,-16.632908,3381.7
28.274204,-16.633104,3389.0
28.274292,-16.63307,3388.4
28.274345,-16.633507,3405.1
28.274025,-16.634005,3423.4
28.273996,-16.634293,3432.1
28.274036,-16.634748,3446.3
28.274258,-16.635214,3457.0
28.274277,-16.635532,3464.2
28.274136,-16.636055,3471.4
28.273876,-16.636515,3486.2
28.273672,-16.636646,3493.2
28.273497,-16.636919,3500.2
28.273407,-16.636925,3500.1
28.273306,-16.637209,3508.4
28.273335,-16.637421,3512.6
28.273535,-16.637548,3515.8
28.273602,-16.637829,3521.4
28.27354,-16.638039,3527.1
28.273678,-16.638424,3533.0
28.273924,-16.638748,3534.5
28.273743,-16.638908,3536.5
28.273418,-16.638718,3542.5
28.273178,-16.638487,3546.3
28.272921,-16.63851,3546.4
28.27281,-16.638622,3546.6
28.272432,-16.638601,3545.8
28.272316,-16.638487,3546.2
28.272131,-16.638496,3550.0
28.271755,-16.638321,3550.4
28.271479,-16.638638,3553.8
28.271166,-16.638712,3548.5
28.271111,-16.638977,3551.4
28.270975,-16.639162,3547.5
28.270733,-16.63913,3546.5
28.270552,-16.638704,3543.7
28.27025,-16.638657,3541.5
28.269875,-16.638981,3543.3
28.269972,-16.639688,3549.2
28.270094,-16.639771,3550.8
28.26984,-16.638941,3542.0
28.270205,-16.638685,3541.2
28.270504,-16.638697,3543.5
28.270727,-16.639145,3546.9
28.270863,-16.639105,3544.4
28.270935,-16.639172,3546.9
28.271111,-16.638962,3551.5
28.271206,-16.638662,3548.4
28.2714,-16.638683,3554.3
28.271744,-16.638346,3551.1
28.272312,-16.638514,3547.0
28.272417,-16.638632,3547.0
28.273157,-16.638491,3546.7
28.273705,-16.638887,3536.6
28.273935,-16.638706,3534.0
28.273664,-16.638403,3532.8
28.273659,-16.638182,3529.2
28.273533,-16.638025,3526.9
28.273602,-16.637806,3520.8
28.2735,-16.637568,3516.3
28.273546,-16.637539,3515.6
28.273348,-16.637438,3513.0
28.27331,-16.637218,3508.7
28.273392,-16.636974,3501.3
28.273891,-16.636486,3485.3
28.274107,-16.636118,3472.4
28.274275,-16.635553,3464.8
28.27426,-16.635271,3457.6
28.27405,-16.634771,3446.9
28.273962,-16.634224,3431.7
28.274061,-16.634121,3427.2
28.274015,-16.633978,3422.6
28.274206,-16.633825,3414.8
28.274349,-16.633455,3402.9
28.274305,-16.633049,3387.7
28.274199,-16.633051,3387.1
28.274107,-16.632652,3371.3
28.274191,-16.632065,3350.8
28.274111,-16.631165,3325.1
28.2742,-16.631044,3319.7
28.274134,-16.630836,3310.1
28.274218,-16.630785,3308.3
28.274147,-16.630713,3305.2
28.274221,-16.630575,3300.3
28.274134,-16.630188,3288.0
28.274323,-16.630161,3286.0
28.274338,-16.630062,3283.2
28.274181,-16.629835,3275.3
28.274065,-16.629383,3264.4
28.274239,-16.629265,3264.8
28.274324,-16.629419,3270.0
28.274033,-16.629452,3265.7
28.274275,-16.630144,3285.9
28.274109,-16.630232,3289.3
28.274178,-16.630587,3300.4
28.274105,-16.630745,3306.4
28.274153,-16.630831,3309.9
28.274099,-16.630831,3309.9
28.274143,-16.631119,3323.3
28.274073,-16.631195,3326.2
28.274076,-16.631596,3338.6
28.274164,-16.632086,3352.1
28.274023,-16.632698,3371.8
28.27417,-16.633125,3389.5
28.274265,-16.633106,3389.5
28.274279,-16.633516,3405.3
28.27417,-16.633808,3414.0
28.273994,-16.633978,3423.1
28.274029,-16.634146,3428.7
28.273943,-16.634245,3432.5
28.274008,-16.634802,3449.1
28.274214,-16.635246,3458.4
28.274235,-16.635557,3465.3
28.273979,-16.636316,3479.5
28.27327,-16.637129,3505.6
28.273296,-16.637403,3512.3
28.273506,-16.637512,3514.9
28.273567,-16.637846,3522.3
28.273508,-16.638058,3527.8
28.273621,-16.63822,3530.0
28.273632,-16.638426,3533.0
28.273891,-16.638777,3534.8
28.27368,-16.638893,3536.8
28.273108,-16.638494,3547.7
28.272894,-16.638523,3546.2
28.272787,-16.638632,3546.4
28.272358,-16.63863,3548.6
28.272261,-16.638514,3548.2
28.271702,-16.638353,3551.7
28.271431,-16.638653,3553.9
28.271118,-16.638756,3548.4
28.271103,-16.63895,3551.2
28.270979,-16.639004,3546.6
28.270945,-16.639156,3546.9
28.270761,-16.639151,3546.3
28.270611,-16.639032,3547.7
28.270567,-16.638758,3544.3
28.270393,-16.63868,3543.1
28.270533,-16.639011,3548.7
28.270533,-16.639553,3553.4
28.270657,-16.640039,3561.5
28.270885,-16.640518,3580.2
28.270954,-16.640455,3579.7
28.270798,-16.640717,3583.0
28.271111,-16.641277,3612.2
28.271172,-16.641201,3613.5
28.271418,-16.641691,3642.3
28.271528,-16.641745,3650.4
28.271584,-16.641665,3652.6
28.271708,-16.641888,3664.7
28.271786,-16.641832,3668.4
28.271887,-16.642073,3679.4
28.272207,-16.641993,3695.5
28.272268,-16.642069,3695.0
28.27235,-16.641998,3699.2
28.272306,-16.64197,3698.8
28.272642,-16.642218,3704.5
28.272408,-16.641987,3700.7
28.271921,-16.642046,3681.5
28.27174,-16.641819,3665.3
28.271706,-16.641911,3665.0
28.271587,-16.641661,3652.6
28.27153,-16.641741,3650.5
28.271351,-16.641598,3635.9
28.2712,-16.641199,3614.9
28.271152,-16.641294,3615.0
28.270807,-16.640711,3583.2
28.270927,-16.640524,3581.6
28.270544,-16.639595,3553.4
28.270552,-16.638941,3547.8
28.270376,-16.638691,3543.3
28.269957,-16.638813,3540.9
28.269854,-16.639,3543.0
28.270096,-16.639938,3552.5
28.270109,-16.640272,3554.0
28.269962,-16.640411,3549.1
28.270002,-16.640551,3547.2
28.269926,-16.640694,3547.2
28.269754,-16.640902,3542.8
28.269682,-16.640877,3539.5
28.269255,-16.641424,3524.4
28.269455,-16.641823,3527.4
28.269522,-16.643143,3524.8
28.269444,-16.643335,3519.9
28.269346,-16.643307,3513.3
28.269436,-16.64356,3509.8
28.269438,-16.643908,3502.2
28.26967,-16.644339,3501.8
28.269857,-16.644966,3497.4
28.268997,-16.645739,3461.8
28.268702,-16.646111,3450.7
28.268545,-16.646757,3439.9
28.268234,-16.647367,3421.0
28.268064,-16.648144,3395.4
28.267836,-16.648659,3379.9
28.2679,-16.648796,3373.4
28.267672,-16.649145,3364.6
28.267744,-16.6492,3361.7
28.267666,-16.649317,3356.2
28.267721,-16.649408,3352.1
28.267281,-16.650011,3332.5
28.26697,-16.65066,3309.7
28.266558,-16.650982,3296.8
28.266529,-16.651175,3292.8
28.266342,-16.651403,3288.4
28.266245,-16.651722,3276.6
28.266258,-16.652216,3270.6
28.266182,-16.652519,3265.2
28.266308,-16.652925,3241.2
28.266251,-16.653887,3210.5
28.265781,-16.65476,3190.0
28.265751,-16.655222,3179.0
28.265221,-16.65641,3147.9
28.265236,-16.656569,3141.6
28.265421,-16.656721,3137.3
28.265162,-16.657032,3127.8
28.264969,-16.657536,3114.9
28.264704,-16.657757,3109.6
28.264099,-16.659161,3099.3
28.264008,-16.659769,3088.2
28.263159,-16.660244,3072.2
28.262993,-16.660574,3066.7
28.263006,-16.660837,3064.6
28.26268,-16.660965,3061.1
28.262325,-16.661428,3057.2
28.261679,-16.661804,3046.7
28.261307,-16.661751,3041.3
28.261274,-16.661646,3039.8
28.261152,-16.66172,3036.0
28.261126,-16.661623,3034.5
28.26103,-16.661655,3030.5
28.260925,-16.661543,3026.3
28.26075,-16.661572,3019.6
28.260326,-16.661448,3007.9
28.26013,-16.661283,3004.8
28.260115,-16.661386,3002.4
28.259977,-16.661381,2998.4
28.259754,-16.661249,2991.3
